#,单词,音标,解释,笔记
25,"ça me contamine","","<div id=""NoteTop""></div><div id=""olnid41""></div><div id=""olnid42""></div><div id=""olnid43""></div><div id=""olnid44""></div>",
26,"déprimée","","郁闷",
27,"presser","[prεse]","v.t. 压榨，挤；压，按，揿；催促；加速，加快",
28,"en colère","","<div id=""NoteTop""></div><div id=""olnid46""></div><div id=""olnid47""></div><div id=""olnid48""></div><div id=""olnid49""></div>",
29,"qu'au bout d'un moment","","<div id=""NoteTop""></div><div id=""olnid51""></div><div id=""olnid52""></div><div id=""olnid53""></div><div id=""olnid54""></div>",
30,"une ambiance un peu lourde","","<div id=""NoteTop""></div><div id=""olnid56""></div><div id=""olnid57""></div><div id=""olnid58""></div><div id=""olnid59""></div>",
31,"se préoccuper de","","<div id=""NoteTop""></div><div id=""olnid61""></div><div id=""olnid62""></div><div id=""olnid63""></div><div id=""olnid64""></div>",
32,"refaire","[r(ə)fεr]","v.t. 再做，重做；修理，修补",
33,"le mien","[ləmjɛ̃]","我的；例句",
34,"arrivait à","","<div id=""NoteTop""></div><div id=""olnid66""></div><div id=""olnid67""></div><div id=""olnid68""></div><div id=""olnid69""></div>",
35,"entier","[ɑ̃tje, -εr]","a. 整个的，全部的；完整的；完全的；绝对的；无损的",
36,"c'est sans fin","","<div id=""NoteTop""></div><div id=""olnid71""></div><div id=""olnid72""></div><div id=""olnid73""></div><div id=""olnid74""></div>",
37,"remplir","[rɑ̃plir]","v.t. 再装满；盛满，装满，填满；布满；塞满；填写；履行，完成",
38,"formulaire","[fɔrmylεr]","n.m. 表格；调查表",
39,"remplir des formulaires","","<div id=""NoteTop""></div><div id=""olnid76""></div><div id=""olnid77""></div><div id=""olnid78""></div><div id=""olnid79""></div>",
40,"remarquer","[rəmarke]","v.t. 注意，察觉；辨别，认出",
41,"profondément","[prɔfɔ̃demɑ̃]","adv. 深，深深地；深刻地，深入地；出自内心地，由衷地，深切地；极度地，极大地，完全地",
42,"perd le sens de","","<div id=""NoteTop""></div><div id=""olnid81""></div><div id=""olnid82""></div><div id=""olnid83""></div><div id=""olnid84""></div>",
43,"sens","[sɑ̃s]","n.m. 感觉，感官；观念，意识；看法，见解，主张；意义，含义；方向",
44,"valeur","[valœr]","n.f. 价值；价格；才能；有效，有效性；[数]值；pl. 准则，标准；英勇",
45,"une galette des rois","","<div id=""NoteTop""></div><div id=""olnid86""></div><div id=""olnid87""></div><div id=""olnid88""></div><div id=""olnid89""></div>",
46,"on le fait, mais on ne sait plus pourquoi on le fait","","<div id=""NoteTop""></div><div id=""olnid91""></div><div id=""olnid92""></div><div id=""olnid93""></div><div id=""olnid94""></div>",
47,"bête","[bεt]","n.f. 兽；畜生；牲口；a. 傻的，愚蠢的；糊涂的；不幸的",
48,"des trucs tout bêtes","","<div id=""NoteTop""></div><div id=""olnid96""></div><div id=""olnid97""></div><div id=""olnid98""></div><div id=""olnid99""></div>",
49,"les petits commerces de proximité","","<div id=""NoteTop""></div><div id=""olnid101""></div><div id=""olnid102""></div><div id=""olnid103""></div><div id=""olnid104""></div>",
50,"je comprends tout à fait","","<div id=""NoteTop""></div><div id=""olnid106""></div><div id=""olnid107""></div><div id=""olnid108""></div><div id=""olnid109""></div>",
51,"qu'on perde nos valeurs et nos traditions.","","<div id=""NoteTop""></div><div id=""olnid111""></div><div id=""olnid112""></div><div id=""olnid113""></div><div id=""olnid114""></div>",
52,"le coût de la vie","","<div id=""NoteTop""></div><div id=""olnid116""></div><div id=""olnid117""></div><div id=""olnid118""></div><div id=""olnid119""></div>",
53,"un défi","","<div id=""NoteTop""></div><div id=""olnid121""></div><div id=""olnid122""></div><div id=""olnid123""></div><div id=""olnid124""></div>",
54,"excessivement","[εksεsivmɑ̃]","adv. 过分地",
55,"moitié","[mwatje]","n.f. 一半；一半左右；老婆",
56,"loger","[lɔʒe]","v.i. 居住，住宿，借宿；栖息；v.t. 安顿，留宿",
57,"dépenser","[depɑ̃se]","v.t. 用（钱），花（钱）；消耗；耗费，花费",
58,"un coin touristique","","<div id=""NoteTop""></div><div id=""olnid126""></div><div id=""olnid127""></div><div id=""olnid128""></div><div id=""olnid129""></div>",
59,"plus de","","<div id=""NoteTop""></div><div id=""olnid131""></div><div id=""olnid132""></div><div id=""olnid133""></div><div id=""olnid134""></div>",
60,"se loger","","<div id=""NoteTop""></div><div id=""olnid136""></div><div id=""olnid137""></div><div id=""olnid138""></div><div id=""olnid139""></div>",
61,"valoriser","[valɔrize]","v.t. 使增值，使更加值钱；使提高身价，使更被看重",
62,"les personnes âgées","","<div id=""NoteTop""></div><div id=""olnid141""></div><div id=""olnid142""></div><div id=""olnid143""></div><div id=""olnid144""></div>",
63,"indispensable","[ɛ̃dispɑ̃sabl]","a. 必不可少的，必要的",
64,"indispensables à notre société","","<div id=""NoteTop""></div><div id=""olnid146""></div><div id=""olnid147""></div><div id=""olnid148""></div><div id=""olnid149""></div>",
65,"récompenser","[rekɔ̃pɑ̃se]","v.t. 奖励，奖赏；报答",
66,"stressant","[strεsɑ̃]","adj. 紧张的；【医学】引起应激的",
67,"pourtant","[purtɑ̃]","adv. 然而， 无论如何， 可是",
68,"récompensés à","","<div id=""NoteTop""></div><div id=""olnid151""></div><div id=""olnid152""></div><div id=""olnid153""></div><div id=""olnid154""></div>",
69,"juste","[ʒyst]","a. 正义的，公道的；公正的，公平的；正确的，正当的；准确的，精确的；合理的；几乎不够的",
70,"soutenir","[sutnir]","v.t. 支撑；搀扶；维持体力；支持，援助；保持；拥护",
71,"derrière moi","","<div id=""NoteTop""></div><div id=""olnid156""></div><div id=""olnid157""></div><div id=""olnid158""></div><div id=""olnid159""></div>",
72,"à me soutenir","","<div id=""NoteTop""></div><div id=""olnid161""></div><div id=""olnid162""></div><div id=""olnid163""></div><div id=""olnid164""></div>",
73,"sourire","[surir]","v.i. 微笑；n.m. 微笑",
74,"insupportable","[ɛ̃sypɔrtabl]","a. 难以忍受的，令人难以容忍的；讨厌的",
75,"snob","[snɔb]","a.， n. 冒充高雅的（人），赶时髦的（人）",
76,"un peu de haut","","<div id=""NoteTop""></div><div id=""olnid166""></div><div id=""olnid167""></div><div id=""olnid168""></div><div id=""olnid169""></div>",
77,"regarder un peu de haut","","<div id=""NoteTop""></div><div id=""olnid171""></div><div id=""olnid172""></div><div id=""olnid173""></div><div id=""olnid174""></div>",
78,"mépris","[mepri]","n.m. 蔑视，鄙视；轻视，藐视",
79,"Ça arrive","","<div id=""NoteTop""></div><div id=""olnid176""></div><div id=""olnid177""></div><div id=""olnid178""></div><div id=""olnid179""></div>",
80,"la météo","","<div id=""NoteTop""></div><div id=""olnid181""></div><div id=""olnid182""></div><div id=""olnid183""></div><div id=""olnid184""></div>",
81,"météo","[meteo]","（[meteɔrɔlɔʒi]） n.f. 气象学；气象局，气象台",
82,"gris","[gri, -z]","a. 灰色的；斑白的；暗淡的",
83,"ce n'est la faute de personne","","<div id=""NoteTop""></div><div id=""olnid186""></div><div id=""olnid187""></div><div id=""olnid188""></div><div id=""olnid189""></div>",
84,"On n'y peut rien.","","<div id=""NoteTop""></div><div id=""olnid191""></div><div id=""olnid192""></div><div id=""olnid193""></div><div id=""olnid194""></div>",
85,"Personne n'y peut rien.","","<div id=""NoteTop""></div><div id=""olnid196""></div><div id=""olnid197""></div><div id=""olnid198""></div><div id=""olnid199""></div>",
86,"Je n'y peux rien.","","<div id=""NoteTop""></div><div id=""olnid201""></div><div id=""olnid202""></div><div id=""olnid203""></div><div id=""olnid204""></div>",
87,"jurer","[ʒyre]","v.t.,v. i. 宣誓，发誓；发誓做到；保证，担保；肯定",
88,"déprimant","[deprimɑ̃, -t]","a. 使人虚弱的；使人消沉的",
89,"ça me manque terriblement","","<div id=""NoteTop""></div><div id=""olnid206""></div><div id=""olnid207""></div><div id=""olnid208""></div><div id=""olnid209""></div>",
90,"Je suis déprimée quand je vois trop de ciel gris.","","<div id=""NoteTop""></div><div id=""olnid211""></div><div id=""olnid212""></div><div id=""olnid213""></div><div id=""olnid214""></div>",
91,"débattre","[debatr]","v.t.， v.pr. 讨论，辩论；争论",
92,"légitime","[leʒitim]","a. 合法的；合理的；正当的",
93,"nécessiter","[nesesite]","v.t. 需要，使成为必要",
94,"un débat","","<div id=""NoteTop""></div><div id=""olnid216""></div><div id=""olnid217""></div><div id=""olnid218""></div><div id=""olnid219""></div>",
95,"C'est une chance.","","<div id=""NoteTop""></div><div id=""olnid221""></div><div id=""olnid222""></div><div id=""olnid223""></div><div id=""olnid224""></div>",
96,"conscience","[kɔ̃sjɑ̃s]","n.f. 意识，知觉，良心",
97,"J'ai conscience que","","<div id=""NoteTop""></div><div id=""olnid226""></div><div id=""olnid227""></div><div id=""olnid228""></div><div id=""olnid229""></div>",
98,"fatiguer","[fatige]","v.t. 使疲劳；损坏；使厌倦",
99,"plombe","[plɔ̃b]","n. f  钟点",
100,"plomber","[plɔ̃be]","v.t.， v.pr. 变成铅灰色",
101,"moral","[mɔral]","a. 道德的，道义上的；有道德的；合乎道德的；道德教育的；伦理学的；精神上的，心理上的；n.m. 精神；士气；情绪，精神状态",
102,"ça plombe le moral","","<div id=""NoteTop""></div><div id=""olnid231""></div><div id=""olnid232""></div><div id=""olnid233""></div><div id=""olnid234""></div>",
103,"allumer","[alyme]","v.t.， v.pr. 1.点火，点燃点亮；照亮 2.激起，引起，惹起 3.打开（暖气，收音机）",
104,"le moral vers le bas","","<div id=""NoteTop""></div><div id=""olnid236""></div><div id=""olnid237""></div><div id=""olnid238""></div><div id=""olnid239""></div>",
105,"ça me fait mourir de rire","","<div id=""NoteTop""></div><div id=""olnid241""></div><div id=""olnid242""></div><div id=""olnid243""></div><div id=""olnid244""></div>",
106,"catastrophe","[katastrɔf]","n.f. 严重灾难；灾难性事件",
107,"gêner","[ʒene] ou [ʒɛne]","v.t. 使感到不舒服，妨碍；使局促不安，使不方便；束缚，约束；使拮据；se ~ v. pr. 感到局促不安，感到不好意思",
108,"me gênent","","<div id=""NoteTop""></div><div id=""olnid246""></div><div id=""olnid247""></div><div id=""olnid248""></div><div id=""olnid249""></div>",
109,"exprimer une idée","","<div id=""NoteTop""></div><div id=""olnid251""></div><div id=""olnid252""></div><div id=""olnid253""></div><div id=""olnid254""></div>",
110,"entraîner","[ɑ̃trεne] ou [ɑ̃trene]","v.t. 卷走，带走；拖，拉（某人）；使卷入，使参加；吸引；[机]驱动；招致，引起；训练，锻炼；s’~ v. pr. 进行训练，锻炼，练习",
111,"je serai ravie de","","<div id=""NoteTop""></div><div id=""olnid256""></div><div id=""olnid257""></div><div id=""olnid258""></div><div id=""olnid259""></div>",
112,"constat","[kɔ̃sta]","n.m.（形势的）评定，确认；[法]笔录",
113,"chaleureux","[∫alœrø]","a. 热情的，热烈的",
114,"accueillant","[akœjɑ̃]","adj. 欢迎",
115,"commerçant","[kɔmεrsɑ̃, -t]","n. 商人；a. 经商的；商业繁盛的；很会做生意的",
116,"comparé au reste 
de la France","","<div id=""NoteTop""></div><div id=""olnid261""></div><div id=""olnid262""></div><div id=""olnid263""></div><div id=""olnid264""></div>",
117,"rapport","[rapɔr]","n.m. 收益，赢利；报告，汇报；关系，联系",
118,"accueil","[akœj]","n.m. 迎接，接待；接待处，服务台",
119,"chaleur","[∫alœr]","n.f. 热，热量；炎热；热情，热烈",
120,"Il m'est déjà arrivé de","","<div id=""NoteTop""></div><div id=""olnid266""></div><div id=""olnid267""></div><div id=""olnid268""></div><div id=""olnid269""></div>",
121,"Dans la majorité des cas","","<div id=""NoteTop""></div><div id=""olnid271""></div><div id=""olnid272""></div><div id=""olnid273""></div><div id=""olnid274""></div>",
122,"surtout","[syrtu]","adv. 特别；尤其",
123,"élevé","[elve]","a. 高的；高贵的，崇高的，高雅的",
124,"au rendez-vous","","<div id=""NoteTop""></div><div id=""olnid276""></div><div id=""olnid277""></div><div id=""olnid278""></div><div id=""olnid279""></div>",
125,"insalubre","[ɛ̃salybr]","adj. 不卫生的，有损健康的",
126,"te ruiner","","<div id=""NoteTop""></div><div id=""olnid281""></div><div id=""olnid282""></div><div id=""olnid283""></div><div id=""olnid284""></div>",
127,"ruiner","[rɥine]","v.t. 使破产；使毁坏，使灭亡；使无力；破坏",
128,"sorte","[sɔrt]","n.f. 种类，类别，品种",
129,"je vous jure que","","<div id=""NoteTop""></div><div id=""olnid286""></div><div id=""olnid287""></div><div id=""olnid288""></div><div id=""olnid289""></div>",
130,"qu'est-ce que c'est long !","","<div id=""NoteTop""></div><div id=""olnid291""></div><div id=""olnid292""></div><div id=""olnid293""></div><div id=""olnid294""></div>",
131,"à débattre","","<div id=""NoteTop""></div><div id=""olnid296""></div><div id=""olnid297""></div><div id=""olnid298""></div><div id=""olnid299""></div>",
132,"pour tout et pour rien","","<div id=""NoteTop""></div><div id=""olnid301""></div><div id=""olnid302""></div><div id=""olnid303""></div><div id=""olnid304""></div>",
133,"En tout cas","","<div id=""NoteTop""></div><div id=""olnid306""></div><div id=""olnid307""></div><div id=""olnid308""></div><div id=""olnid309""></div>",
134,"tendance","[tɑ̃dɑ̃s]","n.f. 倾向，趋势；习性；（工会、政党中的）派别",
