#,单词,音标,解释,笔记
48,"le chaos","","<div id=""NoteTop""></div><div id=""olnid46""></div><div id=""olnid47""></div><div id=""olnid48""></div><div id=""olnid49""></div>",
49,"le pillage","","<div id=""NoteTop""></div><div id=""olnid51""></div><div id=""olnid52""></div><div id=""olnid53""></div><div id=""olnid54""></div>",
50,"les casernes des pompiers","","<div id=""NoteTop""></div><div id=""olnid56""></div><div id=""olnid57""></div><div id=""olnid58""></div><div id=""olnid59""></div>",
51,"les emballages de viandes","","<div id=""NoteTop""></div><div id=""olnid61""></div><div id=""olnid62""></div><div id=""olnid63""></div><div id=""olnid64""></div>",
52,"L'équipe nationale","","<div id=""NoteTop""></div><div id=""olnid66""></div><div id=""olnid67""></div><div id=""olnid68""></div><div id=""olnid69""></div>",
53,"maire","[mεr]","n.m. 市长，镇长",
54,"marquis","[marki]","n.m. 侯爵",
55,"mener","[məne]","v.t. 带，领；运送；导往，通向；领导，指挥；执行；进行",
56,"meurtre","[mœrtr]","n.m. 杀人，谋杀，凶杀",
57,"milice","[milis]","n.f. 民兵；民兵部队",
58,"milicien","[milisjɛ̃]","n.m. 民兵",
59,"noter","[nɔte]","v.t. 注出，标出；记下，写下；注意，注意到；评分，下评语",
60,"obligatoire","[ɔbligatwar]","a. 义务的，强制的，必须遵守的；必然的，注定的",
61,"peu à peu","","逐渐地， 一点点地",
62,"peuple","[pœpl]","n.m. 民族；人民；国民，民众；平民",
63,"pillage","[pijaʒ]","n.m. 掠夺，抢劫；偷盗；剽窃，抄袭",
64,"pompier","[pɔ̃pje]","n.m. 消防员",
65,"port","[pɔr]","n.m. 港，港口",
66,"présidentiel","[prezidɑ̃sjεl]","adj. 主席的，委员长的，议长的，会长的，总统的；大学校长的",
67,"qu'il ne s'agit pas là du","","<div id=""NoteTop""></div><div id=""olnid71""></div><div id=""olnid72""></div><div id=""olnid73""></div><div id=""olnid74""></div>",
68,"qu'on baptise","","<div id=""NoteTop""></div><div id=""olnid76""></div><div id=""olnid77""></div><div id=""olnid78""></div><div id=""olnid79""></div>",
69,"redevenir","[rədvənir]","v.i. 再次成为",
70,"restauration","[rεstɔrasjɔ̃]","n.f. 修复；复兴；复辟；翻新；饭店业，餐饮业",
71,"régner","[reɲe]","v.i.（君主等）统治，执政；支配；主宰；盛行，流行",
72,"roi","[rwa]","n.m. 国王，王；大王，巨头",
73,"ruban","[rybɑ̃]","n.m. 饰带；绶带；带子；带状物",
74,"sans aucun complexe","","<div id=""NoteTop""></div><div id=""olnid81""></div><div id=""olnid82""></div><div id=""olnid83""></div><div id=""olnid84""></div>",
75,"selon","[s(ə)lɔ̃]","prép. 按照，依照；依……观点；根据",
76,"signe","[siɲ]","n.m. 迹象，征兆；示意动作，手势；符号，标记，记号",
77,"spectateur","[spεktatœr]","n. 1.目击者， 目睹者； 2.旁观者观众（艺术品或建筑物的）参 观者",
78,"tentative","[tɑ̃tativ]","n.f. 企图， 试图",
79,"tricolore","[trikɔlɔr]","a. 三色的；有蓝、白、红三色的；法国的；n. 法国人",
80,"vêtu","[vety]","a. 穿着衣服的",
