#,单词,音标,解释,笔记
62,"sur une colline","","<div id=""NoteTop""></div><div id=""olnid1189""></div><div id=""olnid1190""></div><div id=""olnid1191""></div><div id=""olnid1192""></div>",
63,"à proximité","","<div id=""NoteTop""></div><div id=""olnid1194""></div><div id=""olnid1195""></div><div id=""olnid1196""></div><div id=""olnid1197""></div>",
64,"autour","[otur]","adv. 在周围，在四周",
65,"la Lune","","<div id=""NoteTop""></div><div id=""olnid1199""></div><div id=""olnid1200""></div><div id=""olnid1201""></div><div id=""olnid1202""></div>",
66,"là-haut","[lao]","在那上面：在天上， 在西天",
67,"vachement","[va∫mɑ̃]","adv. 非常，很，大大地",
68,"plein de trucs à voir","","<div id=""NoteTop""></div><div id=""olnid1204""></div><div id=""olnid1205""></div><div id=""olnid1206""></div><div id=""olnid1207""></div>",
69,"alternatif","[altεrnatif]","adj. 1.交替的， 轮流的， 轮换的， 往复的； 2.供选择的， 两者择一的， 非此即彼的；",
70,"les anciennes friches","","<div id=""NoteTop""></div><div id=""olnid1209""></div><div id=""olnid1210""></div><div id=""olnid1211""></div><div id=""olnid1212""></div>",
71,"comme on veut","","<div id=""NoteTop""></div><div id=""olnid1214""></div><div id=""olnid1215""></div><div id=""olnid1216""></div><div id=""olnid1217""></div>",
72,"de la rive gauche à la rive droite","","<div id=""NoteTop""></div><div id=""olnid1219""></div><div id=""olnid1220""></div><div id=""olnid1221""></div><div id=""olnid1222""></div>",
73,"contruit","","<div id=""NoteTop""></div><div id=""olnid1224""></div><div id=""olnid1225""></div><div id=""olnid1226""></div><div id=""olnid1227""></div>",
74,"récemment","[resamɑ̃]","adv. 最近，新近",
75,"rejoindre","[r(ə)ʒwɛ̃dr]","v.t. 使再接合；和……相接；重新加入；和……重聚；重返，回到；赶上，追上",
76,"de pont en pont","","<div id=""NoteTop""></div><div id=""olnid1229""></div><div id=""olnid1230""></div><div id=""olnid1231""></div><div id=""olnid1232""></div>",
77,"sur les quais","","<div id=""NoteTop""></div><div id=""olnid1234""></div><div id=""olnid1235""></div><div id=""olnid1236""></div><div id=""olnid1237""></div>",
78,"les anciennes portes","","<div id=""NoteTop""></div><div id=""olnid1239""></div><div id=""olnid1240""></div><div id=""olnid1241""></div><div id=""olnid1242""></div>",
79,"flâner","[flɑne]","v.i. 闲逛，闲荡；偷懒，游手好闲，无所事事",
80,"aller dans les terres","","<div id=""NoteTop""></div><div id=""olnid1244""></div><div id=""olnid1245""></div><div id=""olnid1246""></div><div id=""olnid1247""></div>",
81,"la côte","","<div id=""NoteTop""></div><div id=""olnid1249""></div><div id=""olnid1250""></div><div id=""olnid1251""></div><div id=""olnid1252""></div>",
82,"assez de","","<div id=""NoteTop""></div><div id=""olnid1254""></div><div id=""olnid1255""></div><div id=""olnid1256""></div><div id=""olnid1257""></div>",
83,"le musée","","<div id=""NoteTop""></div><div id=""olnid1259""></div><div id=""olnid1260""></div><div id=""olnid1261""></div><div id=""olnid1262""></div>",
84,"le Triangle d'or","","<div id=""NoteTop""></div><div id=""olnid1264""></div><div id=""olnid1265""></div><div id=""olnid1266""></div><div id=""olnid1267""></div>",
85,"le centre-ville","","<div id=""NoteTop""></div><div id=""olnid1269""></div><div id=""olnid1270""></div><div id=""olnid1271""></div><div id=""olnid1272""></div>",
86,"miroir","[mirwar]","n.m. 反射镜；镜子；镜子般的平面",
87,"incontournable","[ɛ̃kɔ̃turnabl]","adj. 不得不考虑的， 无法回避的；无法绕过的人[物]， 不能不考虑的人[物]",
88,"truc","[tryk]","n.m. 诀窍，巧妙办法；东西；某个人",
89,"la Dune du Pilat","","<div id=""NoteTop""></div><div id=""olnid1274""></div><div id=""olnid1275""></div><div id=""olnid1276""></div><div id=""olnid1277""></div>",
90,"conseiller","[kɔ̃seje, ɛr]","n. 顾问，参事，参赞；劝告者，建议者；参议员，参政员；推事",
91,"avoir tendance à","","<div id=""NoteTop""></div><div id=""olnid1279""></div><div id=""olnid1280""></div><div id=""olnid1281""></div><div id=""olnid1282""></div>",
92,"gavé de choses à faire","","<div id=""NoteTop""></div><div id=""olnid1284""></div><div id=""olnid1285""></div><div id=""olnid1286""></div><div id=""olnid1287""></div>",
93,"un parapluie","","<div id=""NoteTop""></div><div id=""olnid1289""></div><div id=""olnid1290""></div><div id=""olnid1291""></div><div id=""olnid1292""></div>",
94,"venir visiter quelque part","","<div id=""NoteTop""></div><div id=""olnid1294""></div><div id=""olnid1295""></div><div id=""olnid1296""></div><div id=""olnid1297""></div>",
95,"être de","","<div id=""NoteTop""></div><div id=""olnid1299""></div><div id=""olnid1300""></div><div id=""olnid1301""></div><div id=""olnid1302""></div>",
96,"le sud-ouest","","<div id=""NoteTop""></div><div id=""olnid1304""></div><div id=""olnid1305""></div><div id=""olnid1306""></div><div id=""olnid1307""></div>",
97,"dans les environs","","<div id=""NoteTop""></div><div id=""olnid1309""></div><div id=""olnid1310""></div><div id=""olnid1311""></div><div id=""olnid1312""></div>",
